"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"literature.hoa:1.1-69.7","G(!a | G!b | ((!c | X((!b U (d & Fe)) | (b R !d))) U b))",5,10,49,300,2,3,5,1,0,"SaG+","ok",0,0.770957,5,30,160,960,1,5,9,1,0
"literature.hoa:1.1-69.7","G(!a | G!b | ((!c | X((!b U (d & Fe)) | (b R !d))) U b))",5,10,49,300,2,3,5,1,0,"Autfilt+","ok",0,0.00766491,5,9,46,312,1,2,3,1,0
"literature.hoa:1.1-69.7","G(!a | G!b | ((!c | X((!b U (d & Fe)) | (b R !d))) U b))",5,10,49,300,2,3,5,1,0,"Seminator+","ok",0,0.0645334,5,9,46,292,1,2,3,1,0
"literature.hoa:1.1-69.7","G(!a | G!b | ((!c | X((!b U (d & Fe)) | (b R !d))) U b))",5,10,49,300,2,3,5,1,0,"Kofola+","ok",0,0.0196429,5,11,53,352,1,3,3,1,0
"literature.hoa:70.1-146.7","G(!a | ((!b | X((!c U (d & Fe)) | (c R !d))) W c))",5,10,57,296,2,1,3,1,0,"SaG+","ok",0,1.26485,5,18,111,600,1,3,5,1,0
"literature.hoa:70.1-146.7","G(!a | ((!b | X((!c U (d & Fe)) | (c R !d))) W c))",5,10,57,296,2,1,3,1,0,"Autfilt+","ok",0,0.00674997,5,11,66,420,1,2,7,1,0
"literature.hoa:70.1-146.7","G(!a | ((!b | X((!c U (d & Fe)) | (c R !d))) W c))",5,10,57,296,2,1,3,1,0,"Seminator+","ok",0,0.0614818,5,7,32,216,1,2,1,1,0
"literature.hoa:70.1-146.7","G(!a | ((!b | X((!c U (d & Fe)) | (c R !d))) W c))",5,10,57,296,2,1,3,1,0,"Kofola+","ok",0,0.0161798,5,9,48,332,1,2,5,1,0
"literature.hoa:147.1-174.7","G(!a | F(b & XFc))",3,4,14,41,2,1,4,1,0,"SaG+","ok",0,0.0696061,3,10,35,85,1,4,4,1,0
"literature.hoa:147.1-174.7","G(!a | F(b & XFc))",3,4,14,41,2,1,4,1,0,"Autfilt+","ok",0,0.00553108,3,12,42,89,1,6,5,1,0
"literature.hoa:147.1-174.7","G(!a | F(b & XFc))",3,4,14,41,2,1,4,1,0,"Seminator+","ok",0,0.0177166,3,11,45,107,1,7,7,1,0
"literature.hoa:147.1-174.7","G(!a | F(b & XFc))",3,4,14,41,2,1,4,1,0,"Kofola+","ok",0,0.0136895,3,13,45,97,1,6,5,1,0
"literature.hoa:175.1-202.7","G(!a | F(b & !c & X(!c U d)))",4,4,14,65,2,1,4,1,0,"SaG+","ok",0,0.168736,4,20,85,375,1,7,8,1,0
"literature.hoa:175.1-202.7","G(!a | F(b & !c & X(!c U d)))",4,4,14,65,2,1,4,1,0,"Autfilt+","ok",0,0.00504655,4,12,46,185,1,5,5,1,0
"literature.hoa:175.1-202.7","G(!a | F(b & !c & X(!c U d)))",4,4,14,65,2,1,4,1,0,"Seminator+","ok",0,0.0206279,4,11,46,205,1,6,7,1,0
"literature.hoa:175.1-202.7","G(!a | F(b & !c & X(!c U d)))",4,4,14,65,2,1,4,1,0,"Kofola+","ok",0,0.0139557,4,13,49,201,1,5,5,1,0
"literature.hoa:203.1-222.7","G(a & Fd & Fb & Fc)",4,1,8,8,3,1,0,0,0,"SaG+","ok",0,0.0676011,4,7,28,122,1,5,3,1,0
"literature.hoa:203.1-222.7","G(a & Fd & Fb & Fc)",4,1,8,8,3,1,0,0,0,"Autfilt+","ok",0,0.00461569,4,5,9,56,1,5,1,1,0
"literature.hoa:203.1-222.7","G(a & Fd & Fb & Fc)",4,1,8,8,3,1,0,0,0,"Seminator+","ok",0,0.0123402,4,8,30,112,1,6,4,1,0
"literature.hoa:203.1-222.7","G(a & Fd & Fb & Fc)",4,1,8,8,3,1,0,0,0,"Kofola+","ok",0,0.0128547,4,7,26,110,1,5,2,1,0
"literature.hoa:223.1-266.7","G(Fa & Fb & Fc & Fd & Fe)",5,1,32,32,5,1,0,0,0,"SaG+","ok",0,0.0857896,5,10,55,418,1,6,5,1,0
"literature.hoa:223.1-266.7","G(Fa & Fb & Fc & Fd & Fe)",5,1,32,32,5,1,0,0,0,"Autfilt+","ok",0,0.00649988,5,6,11,192,1,6,1,1,0
"literature.hoa:223.1-266.7","G(Fa & Fb & Fc & Fd & Fe)",5,1,32,32,5,1,0,0,0,"Seminator+","ok",0,0.0151716,5,11,61,384,1,7,6,1,0
"literature.hoa:223.1-266.7","G(Fa & Fb & Fc & Fd & Fe)",5,1,32,32,5,1,0,0,0,"Kofola+","ok",0,0.0151245,5,10,54,402,1,6,4,1,0
"literature.hoa:267.1-280.7","G(Fa & F!a)",1,1,2,2,2,1,0,0,0,"SaG+","ok",0,0.0697393,1,4,9,9,1,3,1,1,0
"literature.hoa:267.1-280.7","G(Fa & F!a)",1,1,2,2,2,1,0,0,0,"Autfilt+","ok",0,0.00360766,1,3,5,6,1,3,1,1,0
"literature.hoa:267.1-280.7","G(Fa & F!a)",1,1,2,2,2,1,0,0,0,"Seminator+","ok",0,0.0113286,1,5,12,12,1,4,2,1,0
"literature.hoa:267.1-280.7","G(Fa & F!a)",1,1,2,2,2,1,0,0,0,"Kofola+","ok",0,0.0104277,1,4,9,9,1,3,1,1,0
"literature.hoa:281.1-294.7","G(F!a & Fa)",1,1,2,2,2,1,0,0,0,"SaG+","ok",0,0.0658652,1,4,9,9,1,3,1,1,0
"literature.hoa:281.1-294.7","G(F!a & Fa)",1,1,2,2,2,1,0,0,0,"Autfilt+","ok",0,0.003736,1,3,5,6,1,3,1,1,0
"literature.hoa:281.1-294.7","G(F!a & Fa)",1,1,2,2,2,1,0,0,0,"Seminator+","ok",0,0.0110094,1,5,12,12,1,4,2,1,0
"literature.hoa:281.1-294.7","G(F!a & Fa)",1,1,2,2,2,1,0,0,0,"Kofola+","ok",0,0.010768,1,4,9,9,1,3,1,1,0
"literature.hoa:295.1-577.7","G((!a | Fb) & (!c | Fd) & (!e | Ff) & (!g | Fh))",8,16,256,4096,4,1,0,0,0,"SaG+","ok",0,1.2912,8,51,834,14243,1,5,11,1,0
"literature.hoa:295.1-577.7","G((!a | Fb) & (!c | Fd) & (!e | Ff) & (!g | Fh))",8,16,256,4096,4,1,0,0,0,"Autfilt+","ok",0,0.0289157,8,20,292,7672,1,5,15,1,0
"literature.hoa:295.1-577.7","G((!a | Fb) & (!c | Fd) & (!e | Ff) & (!g | Fh))",8,16,256,4096,4,1,0,0,0,"Seminator+","ok",0,19.4667,8,48,786,13039,1,5,25,1,0
"literature.hoa:295.1-577.7","G((!a | Fb) & (!c | Fd) & (!e | Ff) & (!g | Fh))",8,16,256,4096,4,1,0,0,0,"Kofola+","ok",0,0.22967,8,48,775,13151,1,5,8,1,0
"literature.hoa:578.1-604.7","G(a | X(!a | ((!b & X(b & ((!b & X(a & b)) M a))) M a)))",2,6,11,17,2,1,3,1,0,"SaG+","ok",0,0.0789895,2,26,76,104,1,11,6,1,0
"literature.hoa:578.1-604.7","G(a | X(!a | ((!b & X(b & ((!b & X(a & b)) M a))) M a)))",2,6,11,17,2,1,3,1,0,"Autfilt+","ok",0,0.00472588,2,9,24,34,1,4,4,1,0
"literature.hoa:578.1-604.7","G(a | X(!a | ((!b & X(b & ((!b & X(a & b)) M a))) M a)))",2,6,11,17,2,1,3,1,0,"Seminator+","ok",0,0.0151677,2,11,27,37,1,6,1,1,0
"literature.hoa:578.1-604.7","G(a | X(!a | ((!b & X(b & ((!b & X(a & b)) M a))) M a)))",2,6,11,17,2,1,3,1,0,"Kofola+","ok",0,0.0111219,2,9,24,34,1,4,4,1,0
"literature.hoa:605.1-631.7","G(!a | X(a | ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a)))",2,6,11,17,2,1,3,1,0,"SaG+","ok",0,0.0821843,2,26,76,104,1,11,6,1,0
"literature.hoa:605.1-631.7","G(!a | X(a | ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a)))",2,6,11,17,2,1,3,1,0,"Autfilt+","ok",0,0.00388028,2,9,24,34,1,4,4,1,0
"literature.hoa:605.1-631.7","G(!a | X(a | ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a)))",2,6,11,17,2,1,3,1,0,"Seminator+","ok",0,0.0146981,2,11,27,37,1,6,1,1,0
"literature.hoa:605.1-631.7","G(!a | X(a | ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a)))",2,6,11,17,2,1,3,1,0,"Kofola+","ok",0,0.0117796,2,9,24,34,1,4,4,1,0
"literature.hoa:632.1-663.7","G(!a | X(a | ((!b & X(b & ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a))) M !a)))",2,8,14,21,3,1,4,1,0,"SaG+","ok",0,0.102672,2,36,109,143,1,13,12,1,0
"literature.hoa:632.1-663.7","G(!a | X(a | ((!b & X(b & ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a))) M !a)))",2,8,14,21,3,1,4,1,0,"Autfilt+","ok",0,0.00474889,2,11,32,44,1,4,6,1,0
"literature.hoa:632.1-663.7","G(!a | X(a | ((!b & X(b & ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a))) M !a)))",2,8,14,21,3,1,4,1,0,"Seminator+","ok",0,0.0191162,2,15,37,49,1,8,1,1,0
"literature.hoa:632.1-663.7","G(!a | X(a | ((!b & X(b & ((!b & X(b & ((!b & X(!a & b)) M !a))) M !a))) M !a)))",2,8,14,21,3,1,4,1,0,"Kofola+","ok",0,0.0131312,2,11,32,44,1,4,6,1,0
