,input.source,input.ap,input.states,input.edges,input.transitions,Acceptance Sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,Base,Skip,Jump,SkipJump,BaseMin,SkipMin,JumpMin,SkipJumpMin
0,random_automata.hoa:1.1-25.7,2,5,11,11,2,1,3,1,0,345,267,345,267,111,111,111,111
1,random_automata.hoa:26.1-41.7,2,3,4,4,2,1,0,0,0,16,12,12,8,9,9,7,7
2,random_automata.hoa:42.1-55.7,2,2,3,3,2,1,0,0,0,13,10,13,10,7,7,7,7
3,random_automata.hoa:56.1-73.7,2,4,5,5,2,2,0,0,0,19,15,19,15,5,5,5,5
4,random_automata.hoa:74.1-94.7,2,4,8,8,2,1,2,1,0,257,186,267,195,70,70,62,62
5,random_automata.hoa:95.1-121.7,2,6,12,12,2,2,2,1,0,44,36,56,35,16,16,16,16
6,random_automata.hoa:122.1-154.7,2,7,17,17,2,1,2,1,0,638,494,635,466,151,151,154,154
7,random_automata.hoa:155.1-183.7,2,6,14,14,2,2,4,1,0,166,134,155,115,53,53,46,46
8,random_automata.hoa:184.1-210.7,2,6,12,12,2,2,2,1,0,82,65,82,65,25,25,25,25
9,random_automata.hoa:211.1-224.7,2,2,3,3,2,1,1,1,0,13,10,13,10,2,2,2,2
10,random_automata.hoa:225.1-252.7,2,7,12,12,2,2,3,1,0,102,76,102,76,32,32,32,32
11,random_automata.hoa:253.1-282.7,2,6,15,15,2,1,1,1,0,265,224,265,224,102,102,102,102
12,random_automata.hoa:283.1-304.7,2,4,9,9,2,1,2,1,0,94,71,94,71,36,36,36,36
13,random_automata.hoa:305.1-327.7,2,5,9,9,2,2,2,1,0,55,36,55,36,15,15,15,15
14,random_automata.hoa:328.1-355.7,2,6,13,13,2,1,1,1,0,420,322,519,320,139,139,99,99
15,random_automata.hoa:356.1-376.7,2,4,8,8,2,1,1,1,0,116,91,105,80,19,19,17,17
16,random_automata.hoa:377.1-402.7,2,5,12,12,2,1,3,1,0,174,133,174,133,55,55,55,55
17,random_automata.hoa:403.1-434.7,2,7,16,16,2,1,3,1,0,1479,1082,1479,1082,273,273,273,273
18,random_automata.hoa:435.1-469.7,2,7,19,19,2,1,2,1,0,689,507,700,519,163,163,157,157
19,random_automata.hoa:470.1-501.7,2,7,16,16,2,1,1,1,0,238,186,277,184,89,89,72,72
20,random_automata.hoa:502.1-533.7,2,7,16,16,2,1,3,1,0,518,412,518,412,128,128,128,128
21,random_automata.hoa:534.1-567.7,2,7,18,18,2,1,2,1,0,1012,665,1006,659,113,113,113,113
22,random_automata.hoa:568.1-594.7,2,6,12,12,2,2,1,1,0,76,58,70,52,12,12,12,12
23,random_automata.hoa:595.1-627.7,2,7,17,17,2,1,3,1,0,205,152,205,152,54,54,54,54
24,random_automata.hoa:628.1-647.7,2,4,7,7,2,1,0,0,0,23,18,13,8,14,14,7,7
25,random_automata.hoa:648.1-679.7,2,6,17,17,2,1,2,1,0,578,432,132,88,265,265,36,36
26,random_automata.hoa:680.1-702.7,2,5,9,9,2,2,0,0,0,22,16,21,15,11,11,11,11
27,random_automata.hoa:703.1-727.7,3,5,11,11,2,1,1,1,0,54,41,54,41,21,21,21,21
28,random_automata.hoa:728.1-742.7,3,2,4,4,2,1,1,1,0,27,20,27,20,7,7,7,7
29,random_automata.hoa:743.1-773.7,3,7,15,15,2,1,1,1,0,69,50,99,67,24,24,46,46
30,random_automata.hoa:774.1-808.7,3,7,19,19,2,1,2,1,0,466,352,466,352,143,143,143,143
31,random_automata.hoa:809.1-837.7,3,6,14,14,2,1,2,1,0,236,181,232,177,69,69,68,68
32,random_automata.hoa:838.1-855.7,3,4,5,5,2,1,0,0,0,21,16,21,16,10,10,10,10
33,random_automata.hoa:856.1-887.7,3,7,16,16,2,1,2,1,0,261,200,261,200,93,93,93,93
34,random_automata.hoa:888.1-903.7,3,3,4,4,2,1,0,0,0,13,9,13,9,6,6,6,6
35,random_automata.hoa:904.1-937.7,3,7,18,18,2,1,2,1,0,379,272,429,296,106,106,108,108
36,random_automata.hoa:938.1-969.7,3,7,16,16,2,4,2,1,0,190,146,144,97,35,35,29,29
37,random_automata.hoa:970.1-997.7,3,6,13,13,2,2,2,1,0,54,44,54,44,14,14,14,14
38,random_automata.hoa:998.1-1022.7,3,6,10,10,2,2,0,0,0,23,17,23,17,12,12,11,11
39,random_automata.hoa:1023.1-1050.7,3,6,13,13,2,1,1,1,0,98,75,96,73,29,29,16,16
40,random_automata.hoa:1051.1-1078.7,3,6,13,13,2,1,1,1,0,135,98,135,98,40,40,40,40
41,random_automata.hoa:1079.1-1096.7,3,3,6,6,2,1,0,0,0,16,12,16,12,9,9,9,9
42,random_automata.hoa:1097.1-1113.7,3,3,5,5,2,1,0,0,0,20,16,20,16,11,11,11,11
43,random_automata.hoa:1114.1-1146.7,3,7,17,17,2,1,3,1,0,89,74,122,71,63,63,61,61
44,random_automata.hoa:1147.1-1181.7,3,7,19,19,2,2,2,1,0,204,159,182,137,42,42,24,24
45,random_automata.hoa:1182.1-1194.7,3,2,2,2,2,1,0,0,0,10,7,7,4,3,3,3,3
46,random_automata.hoa:1195.1-1218.7,3,5,10,10,2,1,0,0,0,24,18,24,18,13,13,13,13
47,random_automata.hoa:1219.1-1236.7,3,4,5,5,2,3,0,0,0,20,17,20,17,11,11,8,8
48,random_automata.hoa:1237.1-1252.7,3,2,4,4,2,1,0,0,0,13,10,13,10,6,6,6,6
49,random_automata.hoa:1253.1-1278.7,3,6,11,11,2,1,1,1,0,97,82,77,62,45,45,43,43
50,random_automata.hoa:1279.1-1297.7,3,4,6,6,2,2,0,0,0,15,11,15,11,8,8,8,8
51,random_automata.hoa:1298.1-1327.7,3,7,14,14,2,1,1,1,0,104,74,104,74,33,33,33,33
52,random_automata.hoa:1328.1-1351.7,3,5,10,10,2,1,2,1,0,91,71,94,74,29,29,29,29
53,random_automata.hoa:1352.1-1370.7,3,4,6,6,2,1,0,0,0,18,13,15,10,9,9,9,9
54,random_automata.hoa:1371.1-1404.7,3,7,18,18,2,1,2,1,0,527,411,518,406,111,111,111,111
55,random_automata.hoa:1405.1-1428.7,3,5,10,10,2,1,1,1,0,137,112,122,97,53,53,49,49
56,random_automata.hoa:1429.1-1452.7,4,5,10,10,2,2,1,1,0,169,120,169,120,40,40,40,40
57,random_automata.hoa:1453.1-1485.7,4,7,17,17,2,2,1,1,0,139,103,139,102,59,59,59,59
58,random_automata.hoa:1486.1-1510.7,4,5,11,11,2,1,0,0,0,26,20,26,20,15,15,15,15
59,random_automata.hoa:1511.1-1541.7,4,7,15,15,2,2,1,1,0,116,88,110,82,48,48,48,48
60,random_automata.hoa:1542.1-1563.7,4,5,8,8,2,1,0,0,0,23,17,23,17,9,9,9,9
61,random_automata.hoa:1564.1-1594.7,4,7,15,15,2,1,1,1,0,99,74,99,74,29,29,29,29
62,random_automata.hoa:1595.1-1628.7,4,7,18,18,2,1,1,1,0,67,50,67,50,27,27,27,27
63,random_automata.hoa:1629.1-1657.7,4,7,13,13,2,1,0,0,0,34,26,34,26,23,23,23,23
64,random_automata.hoa:1658.1-1689.7,4,7,16,16,2,2,0,0,0,36,29,36,29,24,24,24,24
65,random_automata.hoa:1690.1-1722.7,4,7,17,17,2,1,2,1,0,180,123,175,118,59,59,57,57
66,random_automata.hoa:1723.1-1755.7,4,7,17,17,2,1,1,1,0,272,212,267,207,90,90,88,88
67,random_automata.hoa:1756.1-1775.7,4,4,7,7,2,1,0,0,0,19,14,19,14,11,11,11,11
68,random_automata.hoa:1776.1-1804.7,4,7,13,13,2,1,0,0,0,38,30,38,30,25,25,25,25
69,random_automata.hoa:1805.1-1819.7,4,2,4,4,2,1,0,0,0,12,9,12,9,6,6,5,5
70,random_automata.hoa:1820.1-1845.7,4,6,11,11,2,1,0,0,0,33,26,33,26,19,19,19,19
71,random_automata.hoa:1846.1-1869.7,4,6,9,9,2,1,0,0,0,34,27,20,13,24,24,12,12
72,random_automata.hoa:1870.1-1897.7,4,6,13,13,2,1,0,0,0,35,28,34,27,25,25,23,23
73,random_automata.hoa:1898.1-1926.7,4,7,13,13,2,2,0,0,0,25,22,25,22,17,17,17,17
74,random_automata.hoa:1927.1-1942.7,4,3,4,4,2,1,1,1,0,37,30,36,29,16,16,14,14
75,random_automata.hoa:1943.1-1972.7,4,7,14,14,2,1,0,0,0,38,30,38,30,26,26,26,26
76,random_automata.hoa:1973.1-2005.7,4,7,17,17,2,1,0,0,0,31,23,31,23,16,16,16,16
77,random_automata.hoa:2006.1-2029.7,4,5,10,10,2,1,0,0,0,26,20,26,20,15,15,15,15
78,random_automata.hoa:2030.1-2050.7,4,4,8,8,2,2,0,0,0,23,19,23,19,12,12,12,12
79,random_automata.hoa:2051.1-2065.7,4,2,4,4,2,1,0,0,0,12,9,12,9,6,6,6,6
80,random_automata.hoa:2066.1-2088.7,4,5,9,9,2,2,0,0,0,24,19,24,19,12,12,12,12
