"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Base","ok",0,0.202596,2,345,1408,1736,1,90,89,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Skip","ok",0,0.133199,2,267,1105,1358,1,67,89,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Jump","ok",0,0.140056,2,345,1408,1736,1,90,89,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Skip_Jump","ok",0,0.116341,2,267,1105,1358,1,67,89,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Base_AF_Min","ok",0,0.189893,2,111,330,385,1,17,13,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Skip_AF_Min","ok",0,0.168086,2,111,330,385,1,17,13,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Jump_AF_Min","ok",0,0.185327,2,111,330,385,1,17,13,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.173346,2,111,330,385,1,17,13,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Base","ok",0,0.0971947,2,16,44,88,1,9,6,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Skip","ok",0,0.0986864,2,12,32,68,1,7,6,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Jump","ok",0,0.0750411,2,12,32,64,1,6,4,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Skip_Jump","ok",0,0.0811502,2,8,22,46,1,4,4,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Base_AF_Min","ok",0,0.0866404,2,9,20,32,1,4,2,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Skip_AF_Min","ok",0,0.0799379,2,9,20,32,1,4,2,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Jump_AF_Min","ok",0,0.0777698,2,7,13,22,1,3,1,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0851092,2,7,13,22,1,3,1,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Base","ok",0,0.0676926,2,13,36,72,1,11,5,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Skip","ok",0,0.0852059,2,10,28,58,1,9,5,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Jump","ok",0,0.0937746,2,13,36,72,1,11,5,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Skip_Jump","ok",0,0.0920323,2,10,28,58,1,9,5,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Base_AF_Min","ok",0,0.0975082,2,7,17,27,1,6,2,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Skip_AF_Min","ok",0,0.0808111,2,7,17,27,1,6,2,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Jump_AF_Min","ok",0,0.0709337,2,7,17,27,1,6,2,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0681982,2,7,17,27,1,6,2,1,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Base","ok",0,0.06908,2,19,51,108,1,15,8,1,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Skip","ok",0,0.066392,2,15,39,84,1,13,7,1,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Jump","ok",0,0.0765962,2,19,51,108,1,15,8,1,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Skip_Jump","ok",0,0.0713667,2,15,39,84,1,13,7,1,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Base_AF_Min","ok",0,0.0684484,2,5,10,20,1,3,0,0,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Skip_AF_Min","ok",0,0.0710369,2,5,10,20,1,3,0,0,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Jump_AF_Min","ok",0,0.0715537,2,5,10,20,1,3,0,0,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0698741,2,5,10,20,1,3,0,0,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Base","ok",0,0.115358,2,257,989,1300,1,98,68,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip","ok",0,0.114351,2,186,760,1002,1,64,68,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Jump","ok",0,0.150863,2,267,1026,1344,1,97,69,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip_Jump","ok",0,0.102601,2,195,783,1032,1,62,69,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Base_AF_Min","ok",0,0.116017,2,70,214,264,1,17,15,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip_AF_Min","ok",0,0.123017,2,70,214,264,1,17,15,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Jump_AF_Min","ok",0,0.128055,2,62,194,241,1,13,16,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.120967,2,62,194,241,1,13,16,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Base","ok",0,0.0770475,2,44,159,244,1,24,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip","ok",0,0.0691636,2,36,135,208,1,19,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Jump","ok",0,0.0731395,2,56,194,292,1,28,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_Jump","ok",0,0.0717704,2,35,129,204,1,18,17,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Base_AF_Min","ok",0,0.0727823,2,16,41,58,1,6,2,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_AF_Min","ok",0,0.0812429,2,16,41,58,1,6,2,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Jump_AF_Min","ok",0,0.079931,2,16,41,58,1,6,2,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG_Skip_Jump_AF_Min","ok",0,0.0791451,2,16,41,58,1,6,2,1,0
