"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SaG+","ok",0,0.213421,2,111,330,385,1,17,13,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"Autfilt+","ok",0,0.0613596,2,110,316,353,1,20,23,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"Seminator+","ok",0,0.134693,2,79,197,218,1,22,24,1,0
"random_automata.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"Kofola+","ok",0,0.0518801,2,89,254,281,1,21,22,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SaG+","ok",0,0.0778846,2,7,13,22,1,3,1,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"Autfilt+","ok",0,0.00383782,2,7,12,20,1,3,1,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"Seminator+","ok",0,0.0121529,2,8,17,26,1,4,2,1,0
"random_automata.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"Kofola+","ok",0,0.0128486,2,7,13,22,1,3,1,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SaG+","ok",0,0.0695759,2,7,17,27,1,6,2,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"Autfilt+","ok",0,0.0038852,2,4,8,14,1,3,1,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"Seminator+","ok",0,0.0115754,2,5,12,19,1,4,2,1,0
"random_automata.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"Kofola+","ok",0,0.0108989,2,4,10,17,1,3,2,1,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SaG+","ok",0,0.077578,2,5,10,20,1,3,0,0,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"Autfilt+","ok",0,0.00406757,2,5,10,20,1,3,0,0,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"Seminator+","ok",0,0.0115961,2,5,10,20,1,3,0,0,0
"random_automata.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"Kofola+","ok",0,0.0110079,2,5,10,20,1,3,0,0,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SaG+","ok",0,0.119893,2,62,194,241,1,13,16,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"Autfilt+","ok",0,0.00720004,2,31,84,99,1,8,10,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"Seminator+","ok",0,0.0283264,2,31,86,104,1,7,9,1,0
"random_automata.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"Kofola+","ok",0,0.0148594,2,35,90,105,1,12,10,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SaG+","ok",0,0.103157,2,16,41,58,1,6,2,1,0
"random_automata.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"Autfilt+","ok",0,0.00683688,2,16,41,54,1,5,4,1,0
